match_id,stage,group,match_date,venue,city,country,home_team,away_team,neutral,bracket_slot_home,bracket_slot_away
22,Group Stage,L,2026-06-17T15:00:00,AT&T Stadium,"Dallas (Arlington, Texas)",United States,England,Croatia,True,,
23,Group Stage,K,2026-06-17T20:00:00,Estadio Azteca,Mexico City,Mexico,Uzbekistan,Colombia,True,,
24,Group Stage,L,2026-06-17T19:00:00,BMO Field,Toronto,Canada,Ghana,Panama,True,,
25,Group Stage,A,2026-06-18T19:00:00,Estadio Akron,Guadalajara (Zapopan),Mexico,Mexico,South Korea,False,,
26,Group Stage,B,2026-06-18T12:00:00,SoFi Stadium,Los Angeles (Inglewood),United States,Switzerland,Bosnia and Herzegovina,True,,
27,Group Stage,B,2026-06-18T15:00:00,BC Place,Vancouver,Canada,Canada,Qatar,False,,
28,Group Stage,A,2026-06-18T12:00:00,Mercedes-Benz Stadium,Atlanta,United States,Czech Republic,South Africa,True,,
29,Group Stage,C,2026-06-19T21:00:00,Lincoln Financial Field,Philadelphia,United States,Brazil,Haiti,True,,
30,Group Stage,C,2026-06-19T18:00:00,Gillette Stadium,Boston (Foxborough),United States,Scotland,Morocco,True,,
31,Group Stage,D,2026-06-19T12:00:00,Lumen Field,Seattle,United States,United States,Australia,False,,
32,Group Stage,D,2026-06-19T20:00:00,Levi's Stadium,San Francisco Bay Area (Santa Clara),United States,Turkey,Paraguay,True,,
33,Group Stage,E,2026-06-20T16:00:00,BMO Field,Toronto,Canada,Germany,Ivory Coast,True,,
34,Group Stage,E,2026-06-20T19:00:00,GEHA Field at Arrowhead Stadium,Kansas City,United States,Ecuador,Curaçao,True,,
35,Group Stage,F,2026-06-20T12:00:00,NRG Stadium,Houston,United States,Netherlands,Sweden,True,,
36,Group Stage,F,2026-06-20T22:00:00,Estadio BBVA,Monterrey (Guadalupe),Mexico,Tunisia,Japan,True,,
37,Group Stage,G,2026-06-21T12:00:00,SoFi Stadium,Los Angeles (Inglewood),United States,Belgium,Iran,True,,
38,Group Stage,G,2026-06-21T18:00:00,BC Place,Vancouver,Canada,New Zealand,Egypt,True,,
39,Group Stage,H,2026-06-21T12:00:00,Mercedes-Benz Stadium,Atlanta,United States,Spain,Saudi Arabia,True,,
40,Group Stage,H,2026-06-21T18:00:00,Hard Rock Stadium,Miami (Miami Gardens),United States,Uruguay,Cape Verde,True,,
41,Group Stage,I,2026-06-22T17:00:00,Lincoln Financial Field,Philadelphia,United States,France,Iraq,True,,
42,Group Stage,I,2026-06-22T20:00:00,MetLife Stadium,New York/New Jersey (East Rutherford),United States,Norway,Senegal,True,,
